id	file	artist	title	standard	audio	renderer	extra
0	EASY	Tony Diaz	Easy	PA80	PA80	N/A	Archived by PipeNacho1985
1	BLDPIANO	Max Tempia	Piano Ballad	PA80	PA80	N/A	Archived by PipeNacho1985
2	NYLONGTR	L. Pecchia, R. Marcucci	Nylon Guitar	PA80	PA80	N/A	Archived by PipeNacho1985
3	JQUARTET	L. Pecchia, R. Marcucci	Jazz Quartet	PA80	PA80	N/A	Archived by PipeNacho1985
4	MUSETTE	R. Marcucci	Musette	PA80	PA80	N/A	Archived by PipeNacho1985
5	FILMSCOR	Michael W. Geisel	Film Score	PA80	PA80	N/A	Archived by PipeNacho1985
6	LATIN	Max Tempia	Mambooh	PA80	PA80	N/A	Archived by PipeNacho1985
7	SNOWTOWN	Max Tempia	Snow Town	PA80	PA80	N/A	Archived by PipeNacho1985
8	DANCING	Michael W. Geisel	Dancing	PA80	PA80	N/A	Archived by PipeNacho1985
9	7898	R. Marcucci	New iS “8960”	PA80	PA80	N/A	Archived by PipeNacho1985
10	PROGRESS	G. Pavani	Progressive	PA80	PA80	N/A	Archived by PipeNacho1985
11	DISCO	KORG	GP Dance	PA80	PA80	N/A	Archived by PipeNacho1985
12	FOLKS	KORG	Folk Song	PA80	PA80	N/A	Archived by PipeNacho1985
13	LIVE	G. Pavani	LIVE !	PA80	PA80	N/A	Archived by PipeNacho1985
14	FUSION	KORG	Fusion	PA80	PA80	N/A	Archived by PipeNacho1985
15	ORGANSWG	Michael W. Geisel	Organ Swing	PA80	PA80	N/A	Archived by PipeNacho1985
