id	file	artist	title	standard	audio	renderer	extra
0	01JAZZ	Idecs Music Software	The Secret Place	GS	SC-8850	Romantique Tp	
1	02DANCE	谷平五	Wall Five Mix	GS	SC-8850		
2	03BLUES	加藤雄紀	Blue X	GS	SC-8850		
3	04PIANO	平下政志, 平下和子	Prologue	GS	SC-8850		
4	05ORCHE	久光浩, 本郷久恵	Space Flight	GS	SC-8850	Romantique Tp	
5	06DRUM	加藤雄紀	Smokey John	GS	SC-8850		
6	07SFX	清水勝介	Roadster	GS	SC-8850		
7	08JVOICE	宮本修	Voice Sesame	GS	SC-8850		
8	09CELTIC	久光浩, 本郷久恵	Legend	GS	SC-8850		
9	10GAMLAN	原田智宏	Dance of Ghosts	GS	SC-8850		
