id	file	artist	title	standard	audio	renderer	extra
0	VLjazzy	Yamaha	VL Jazzy Acid	XG, PLG-VL	MU1000, PLG150-VL	DearHoney	
1	CoolJiva	氏家克典	Cool JiVA	XG, PLG-VL	MU100, PLG150-VL	Schule04	
2	DoGrooVA	氏家克典	Do GrooVA	XG, PLG-VL	MU100, PLG150-VL	Schule04	
3	Clouds	鈴木明男	Clouds	XG, PLG-VL	MU100, PLG150-VL	Schule04	
4	SngIndia	Nikolai Andreyevich Rimsky-Korsakov, Yamaha	Song of India	XG, PLG-VL	MU2000, PLG150-VL	Arthur Pirika	
5	oSoleMio	Eduardo di Capua, Alfredo Mazzucchi, Yamaha	O sole mio	XG, PLG-VL	MU2000, PLG150-VL	Arthur Pirika	
6	Bounce3	Charlie Parker, Yamaha	Billie's Bounce	XG, PLG-VL	MU2000, PLG150-VL	Arthur Pirika	
7	Nobody	鈴木明男	Nobody Knows	XG, PLG-VL	MU100, PLG150-VL	Schule04	
8	Silhouet	Tom Scott, Nate Tschetter, Charles Feilding	Silhouettes	XG, PLG-VL	MU100, PLG150-VL	Schule04	
9	USPatrol	Frank White Meacham, Yamaha	American Patrol	XG, PLG-VL	MU2000, PLG150-VL	Arthur Pirika	
10	Wiener	Ödön von Horváth, Yamaha	Geschichten aus dem Wiener Wald	XG, PLG-VL	MU2000, PLG150-VL	Arthur Pirika	
11	Carmen	Georges Bizet, Yamaha	L'amour est un oiseau rebelle (Habanera)	XG, PLG-VL	S-YXG100PVL, S-YXG50	Lumière Élevé	
11	Casation	Franz Joseph Haydn, Yamaha	Cassation (Toy Symphony)	XG, PLG-VL	MU2000, PLG150-VL	Arthur Pirika	While rumoured to be Haydn, the true composer is still unknown.
12	EineKlei	Wolfgang Amadeus Mozart, Yamaha	Eine Kleine Nachtmusik	XG, PLG-VL	MU2000, PLG150-VL	Arthur Pirika	
13	Kavaller	Franz von Suppé, Yamaha	Leichte Kavallerie	XG, PLG-VL	MU2000, PLG150-VL	Arthur Pirika	
14	Marche	Unknown, Yamaha	Marche	XG, PLG-VL	MU2000, PLG150-VL	Arthur Pirika	
15	Primvera	Antonio Vivaldi, Yamaha	La Primavera (1st mov.)	XG, PLG-VL	MU2000, PLG150-VL	Arthur Pirika	
16	Tableaux	Modest Petrovich Mussorgsky, Yamaha	Tableaux d'une exposition	XG, PLG-VL	MU2000, PLG150-VL	Arthur Pirika	
17	DinoJung	Yamaha	Dino Jungle	XG, PLG-VL	MU2000, PLG150-VL	Arthur Pirika	
18	VAmbient	氏家克典	VAmbient	XG, PLG-VL	MU100, PLG150-VL	Schule04	
19	Oxygen	Andy Mowat, Daniel Powell	Oxygen	XG, PLG-VL	MU100, PLG150-VL	Schule04	
20	FatPizz	Yamaha	Fat Pizz	XG, PLG-VL	MU2000, PLG150-VL	Arthur Pirika	
21	WhenYou	Yamaha	When You	XG, PLG-VL	Unspecified	Unspecified	
22	PoMyWish	今井美樹	Piece of My Wish	XG, PLG-VL	MU1000, PLG150-VL	DearHoney	
